# IP RP SP set_id D HHub_Ratio HHub HTrans PileDepth WaterDepth WaveHeight WavePeriod WindSpeed monopile_mass tower_mass total_mass
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 9.872983346 12.0983866768 471213.9674064797 546149.6994486155 1017363.6668550952
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 12.3667349734 12.3667349734 3.5 6.0 9.0 347722.2936655457 507225.67656291317 854947.9702284589
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 10.802456344 9.0 471919.47845806705 546810.143688442 1018729.622146509
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 4.3684874988 6.0 9.0 452526.9539728908 563351.600043864 1015878.5540167547
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 5.0491933384 2.127016654 9.0 472523.77361407585 557223.0272970895 1029746.8009111653
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 5.0491933384 6.0 5.9016133232 439807.4935409709 578673.5910976199 1018481.0846385907
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 5.0491933384 6.0 9.0 478669.80173356377 547222.767640783 1025892.5693743468
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 5.0491933384 6.0 12.0983866768 446622.12728056125 567676.9448697139 1014299.0721502751
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 5.0491933384 9.872983346 9.0 472770.21679181437 555632.1250874815 1028402.3418792959
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 5.4209825376000005 6.0 9.0 481599.9175504791 543423.7734901225 1025023.6910406016
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 25.0595593687 25.0595593687 3.5 6.0 9.0 519811.30672225094 593592.7409384565 1113404.0476607075
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 28.6332650266 28.6332650266 1.9508066616 6.0 9.0 608035.453741323 585664.1516936568 1193699.6054349798
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 20.5 20.5 1.9508066616 6.0 9.0 453481.7700206061 568479.8872847466 1021961.6573053527
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 28.6332650266 28.6332650266 3.5 2.127016654 9.0 594814.0584391252 606075.5346446758 1200889.593083801
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 28.6332650266 28.6332650266 3.5 6.0 5.9016133232 811246.2104238041 605245.3585875558 1416491.56901136
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 28.6332650266 28.6332650266 3.5 6.0 9.0 592256.4608188741 606094.6851346575 1198351.1459535316
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 28.6332650266 28.6332650266 3.5 6.0 12.0983866768 598229.7496925556 612588.0184994523 1210817.768192008
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 28.6332650266 28.6332650266 3.5 9.872983346 9.0 587774.1238005861 607181.2957327395 1194955.4195333256
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 28.6332650266 28.6332650266 5.0491933384 6.0 9.0 599782.1554110461 604231.6788909499 1204013.834301996
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 30.5851583224 30.5851583224 3.5 6.0 9.0 628332.131591244 613012.1534109238 1241344.2850021678
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.1366911596 20.5 20.5 3.5 6.0 9.0 457515.3409016656 554698.5053512198 1012213.8462528854
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 12.3667349734 12.3667349734 3.5 6.0 9.0 354120.81432078214 500204.2959468213 854325.1102676034
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 20.5 20.5 1.9508066616 6.0 9.0 445213.6649735424 569950.4400367755 1015164.1050103179
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 20.5 20.5 3.5 2.127016654 9.0 469373.5366224622 552930.8251074473 1022304.3617299095
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 20.5 20.5 3.5 2.127016654 9.0 468303.5659880829 551556.1353048522 1019859.7012929351
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 20.5 20.5 3.5 6.0 5.9016133232 454275.82119431964 559479.2505691296 1013755.0717634492
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 20.5 20.5 3.5 6.0 9.0 464389.8097742773 550768.886686096 1015158.6964603732
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 20.5 20.5 3.5 6.0 12.0983866768 500575.3016423636 522164.5229717269 1022739.8246140905
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 20.5 20.5 3.5 9.872983346 9.0 586050.2628046654 565920.9349839482 1151971.1977886136
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 20.5 20.5 5.0491933384 6.0 9.0 468335.8118037171 548595.3899644907 1016931.2017682078
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 11.6972687518 28.6332650266 28.6332650266 3.5 6.0 9.0 567415.7080042027 592948.5298140831 1160364.2378182858
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 12.3298399408 20.5 20.5 3.5 6.0 9.0 457834.79574016 562088.8928038622 1019923.6885440222
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 10.064764386274 10.064764386274 3.5 6.0 9.0 326264.7165417443 486322.65746461414 812587.3740063584
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 10.41484167865 10.41484167865 1.9508066616 6.0 9.0 390838.9125193729 555116.2851235294 945955.1976429023
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 20.5 20.5 3.5 6.0 5.9016133232 583010.5822182992 572967.2736032989 1155977.855821598
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 10.41484167865 10.41484167865 3.5 2.127016654 9.0 311482.2460132518 507293.1134766071 818775.3594898588
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 10.41484167865 10.41484167865 3.5 6.0 5.9016133232 319283.18209790805 500586.96796730027 819870.1500652083
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 10.41484167865 10.41484167865 3.5 6.0 9.0 331046.51599161944 487238.3711611179 818284.8871527374
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 10.41484167865 10.41484167865 3.5 6.0 12.0983866768 310264.2412722553 507929.390569024 818193.6318412793
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 10.41484167865 10.41484167865 3.5 9.872983346 9.0 430606.8425581411 529400.1326309232 960006.9751890643
