# IP RP SP set_id D HHub_Ratio HHub HTrans PileDepth WaterDepth WaveHeight WavePeriod WindSpeed monopile_mass tower_mass total_mass
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 6.0 5.1580349252 1206263.1644125194 548439.470744265 1754702.6351567844
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 11.6972687518 45.5 45.5 3.5 6.0 9.0 1025606.9038816318 639201.4080204458 1664808.3119020776
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 6.0 5.9016133232 1054390.0251817256 608806.6699273346 1663196.6951090603
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 6.0 7.2630250024 1120137.3032593424 591255.6075508255 1711392.910810168
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 6.0 9.0 1023383.0964217777 626789.276003676 1650172.3724254537
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 6.0 10.7369749976 1049313.7881148474 609734.0271268461 1659047.8152416935
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 6.0 12.841965075200001 1150573.8829206857 588794.3711232475 1739368.2540439332
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 9.872983346 5.9016133232 1070219.0994325161 620110.7315797291 1690329.8310122453
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 9.872983346 9.0 1230310.5702534174 599543.0494671986 1829853.619720616
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 9.872983346 12.0983866768 1048363.8962794002 623388.5541601207 1671752.4504395209
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 13.0 31.57287660385 31.57287660385 3.5 6.0 9.0 665256.0664068469 597716.482217075 1262972.5486239218
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 10.802456344 9.0 1017023.6862847758 633501.5495018805 1650525.2357866564
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 2.2577941064 6.0 9.0 1234419.2753807893 572179.2195223349 1806598.4949031242
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 2.6315125012 6.0 5.9016133232 1016569.0956498377 636059.9419622878 1652629.0376121255
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 2.6315125012 6.0 9.0 1195512.413172615 570230.163220586 1765742.576393201
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 2.6315125012 6.0 12.0983866768 1164170.539480562 576688.1575085474 1740858.6969891095
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 3.0532266272 6.0 9.0 1018827.8106091331 640123.3074432352 1658951.1180523683
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 3.5 1.03084018394 9.0 1200444.7104373777 671333.6110464754 1871778.321483853
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 13.0 34.2683482966 34.2683482966 1.9508066616 6.0 9.0 830384.1430051859 563251.7208076933 1393635.8638128792
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 3.5 1.1975436565 9.0 1133548.9897930655 669715.3474744735 1803264.337267539
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 3.5 1.1975436565 12.0983866768 1136376.4362461716 653715.7388847312 1790092.1751309028
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 3.5 1.5577038356 9.0 1222217.559699894 615106.1818124764 1837323.7415123703
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 3.5 2.127016654 5.1580349252 1102321.971132555 615694.8788215017 1718016.8499540568
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 3.5 2.127016654 5.9016133232 1087349.6384774623 624364.1863068198 1711713.8247842821
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 3.5 2.127016654 7.2630250024 1039296.7015863452 639968.5797409089 1679265.2813272541
