trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct,pd_level
mc_20260807_0627_low_000029,mc_20260807_0627_low/task_0005,29,Nygaard_TurboGaussian,10.69,3255.9445078506733,3195.741050566068,1.849,2867.6477666753963,11.926,low
mc_20260807_0627_low_000029,mc_20260807_0627_low/task_0005,29,SuperGaussian,2.42,3308.5193555934884,3304.172570754918,0.131,3022.531901579943,8.644,low
mc_20260807_0627_low_000030,mc_20260807_0627_low/task_0006,30,Nygaard_TurboGaussian,7.13,3486.98105413868,3427.3981702767546,1.709,3056.198737157837,12.354,low
mc_20260807_0627_low_000030,mc_20260807_0627_low/task_0006,30,SuperGaussian,1.68,3538.372341321712,3534.0465909122595,0.122,3197.0408047728806,9.647,low
mc_20260807_0627_low_000031,mc_20260807_0627_low/task_0006,31,Nygaard_TurboGaussian,7.83,3304.7024137411695,3246.672808045315,1.756,2921.4769027925477,11.596,low
mc_20260807_0627_low_000031,mc_20260807_0627_low/task_0006,31,SuperGaussian,2.53,3356.856038577885,3352.592838263604,0.127,3066.0612003414126,8.663,low
mc_20260807_0627_low_000032,mc_20260807_0627_low/task_0006,32,Nygaard_TurboGaussian,7.63,3389.785768398916,3317.110554291311,2.144,3010.387316231759,11.192,low
mc_20260807_0627_low_000032,mc_20260807_0627_low/task_0006,32,SuperGaussian,2.58,3443.34185615724,3438.124179703594,0.152,3172.4466637789264,7.867,low
mc_20260807_0627_low_000033,mc_20260807_0627_low/task_0006,33,Nygaard_TurboGaussian,10.49,3151.9649361056095,3089.071653635685,1.995,2695.2190869866417,14.491,low
mc_20260807_0627_low_000033,mc_20260807_0627_low/task_0006,33,SuperGaussian,3.46,3206.4920727160625,3201.9545899420627,0.142,2870.4744597826902,10.479,low
mc_20260807_0627_low_000034,mc_20260807_0627_low/task_0006,34,Nygaard_TurboGaussian,10.13,3015.6765617012406,2957.686901643756,1.923,2571.113493733932,14.742,low
mc_20260807_0627_low_000034,mc_20260807_0627_low/task_0006,34,SuperGaussian,2.55,3068.970165288336,3064.768578670215,0.137,2701.8667616610264,11.962,low
mc_20260807_0627_low_000035,mc_20260807_0627_low/task_0007,35,Nygaard_TurboGaussian,8.2,3155.122673892889,3091.672137341118,2.011,2695.046704787276,14.582,low
mc_20260807_0627_low_000035,mc_20260807_0627_low/task_0007,35,SuperGaussian,2.73,3208.912780406658,3204.420639253378,0.14,2871.963192566751,10.5,low
mc_20260807_0627_low_000036,mc_20260807_0627_low/task_0007,36,Nygaard_TurboGaussian,9.57,3210.649726025416,3159.465976304567,1.594,2852.7163935806275,11.148,low
mc_20260807_0627_low_000036,mc_20260807_0627_low/task_0007,36,SuperGaussian,3.5,3260.266047712033,3256.5273876005904,0.115,2996.468976969372,8.091,low
