Wind_Direction,Wind_Speed,Wave_Height,Surge,Sway,Heave,Pitch,Yaw,Roll
0,1,22,13.235698022842406,-0.9887048290371895,-0.12792111167072653,2.6499544509649278,-0.3688198601230979,0.3463061917386949
0,1,23,13.23978212761879,-1.047521437495947,-0.1117235082325351,2.646691473484039,-0.41623490388691425,0.3575342246815562
0,1,24,6.720184005796909,-0.007520063614720129,-0.15846132719889283,0.4968400355428457,0.019596193000325002,0.015222628906485625
0,2,4,4.211663374304772,-0.01736692874665687,-0.014997918840816055,0.7913369597494602,0.0043329712365564885,0.010810813180124569
0,2,5,5.80995358145237,-0.04545482243323931,-0.03568892034574779,1.134910091251135,0.009694066434073194,0.0259642067531604
0,2,6,7.557960863947868,-0.07674338296614587,-0.06607200587499767,1.5354935347139835,0.015306526235537604,0.04614688729541376
0,2,7,9.454567851781846,-0.11815322282165289,-0.10353400220628828,1.984423011302948,0.020995838633738457,0.06974863540474326
0,2,8,11.607260813713074,-0.15482449574023485,-0.15650155322253703,2.493389146029949,0.024437826400855556,0.09736235835775733
0,2,9,14.51908121728897,-0.19409864803031088,-0.237365320071578,3.1273439230918885,0.026390373135916887,0.12144816373288632
0,2,10,17.761564450740813,-0.21594032068550587,-0.33154924390465024,3.8294837533831596,0.02061890458886046,0.14465906923264266
0,2,11,20.997207755088805,-0.25473596866056325,-0.44801891324669124,4.53491577899456,0.007809807188514413,0.17130504389852286
0,2,12,20.217007445812225,-0.33775006665289403,-0.47118252401798966,4.854782292604447,-0.004135277760639468,0.20548259837552904
0,2,13,17.571180947542192,-0.43517212468385696,-0.36240034899488094,4.01486444157362,-0.02945850793214049,0.2342253822386265
0,2,14,16.386508915185928,-0.490675636574626,-0.31509937869384885,3.538225110530853,-0.05761925732158125,0.2503023016564548
0,2,15,15.28599839091301,-0.5556340267285704,-0.2761844043834135,3.1947320373654366,-0.08338505547586829,0.26198831433802844
0,2,16,14.499424084424973,-0.6210876779556275,-0.2471082348469263,2.957630669772625,-0.10745861157588661,0.272380639474839
0,2,17,13.947284900188446,-0.6801034129858017,-0.22205522357458177,2.8076051639318464,-0.13047082943469285,0.2828552183620632
