trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_medium_000061,mc_20260807_0627_medium/task_0012,61,SuperGaussian,4.65,3160.3193904835207,3156.0224922129837,0.136,2842.778047330202,10.048
mc_20260807_0627_medium_000062,mc_20260807_0627_medium/task_0012,62,Nygaard_TurboGaussian,14.8,2956.2638054636573,2900.0046162990425,1.903,2571.411109721692,13.018
mc_20260807_0627_medium_000062,mc_20260807_0627_medium/task_0012,62,SuperGaussian,5.02,3008.9486212672764,3005.0093165604007,0.131,2712.09420374463,9.866
mc_20260807_0627_medium_000063,mc_20260807_0627_medium/task_0012,63,Nygaard_TurboGaussian,14.18,3730.6883686913934,3665.2315262940297,1.755,3278.662807417363,12.116
mc_20260807_0627_medium_000063,mc_20260807_0627_medium/task_0012,63,SuperGaussian,3.34,3781.643072413375,3776.877785017383,0.126,3459.348986536108,8.523
mc_20260807_0627_medium_000064,mc_20260807_0627_medium/task_0012,64,Nygaard_TurboGaussian,7.49,3246.178023755756,3196.9775231469803,1.516,2835.3169413092432,12.657
mc_20260807_0627_medium_000064,mc_20260807_0627_medium/task_0012,64,SuperGaussian,1.92,3294.781247329122,3291.2234790172542,0.108,2964.651084614688,10.02
mc_20260807_0627_medium_000065,mc_20260807_0627_medium/task_0013,65,Nygaard_TurboGaussian,6.81,3181.230391629047,3120.3198874251993,1.915,2790.551236828969,12.281
mc_20260807_0627_medium_000065,mc_20260807_0627_medium/task_0013,65,SuperGaussian,2.64,3234.134035226113,3229.688258608675,0.137,2924.313957163826,9.58
mc_20260807_0627_medium_000066,mc_20260807_0627_medium/task_0013,66,Nygaard_TurboGaussian,13.44,3270.9787044353006,3208.479614160842,1.911,2859.0251683116503,12.594
mc_20260807_0627_medium_000066,mc_20260807_0627_medium/task_0013,66,SuperGaussian,3.73,3322.6517052594854,3318.079203253661,0.138,3030.7800046665843,8.784
mc_20260807_0627_medium_000067,mc_20260807_0627_medium/task_0013,67,Nygaard_TurboGaussian,10.49,3319.9580886701615,3266.281148956162,1.617,2915.351001329383,12.187
mc_20260807_0627_medium_000067,mc_20260807_0627_medium/task_0013,67,SuperGaussian,3.04,3370.6009842296835,3366.6995461613856,0.116,3053.008195984463,9.422
mc_20260807_0627_medium_000068,mc_20260807_0627_medium/task_0013,68,Nygaard_TurboGaussian,17.3,3493.7421283179638,3426.3994974410302,1.928,3004.349922758681,14.008
mc_20260807_0627_medium_000068,mc_20260807_0627_medium/task_0013,68,SuperGaussian,4.77,3548.6971457044187,3543.8642826200107,0.136,3169.9275758334825,10.673
mc_20260807_0627_medium_000069,mc_20260807_0627_medium/task_0013,69,Nygaard_TurboGaussian,18.23,3265.1673114472883,3194.2720662317724,2.171,2781.461969346059,14.814
mc_20260807_0627_medium_000069,mc_20260807_0627_medium/task_0013,69,SuperGaussian,4.03,3324.1144893396213,3319.014678953786,0.153,2957.7140962461417,11.022
mc_20260807_0627_medium_000070,mc_20260807_0627_medium/task_0014,70,Nygaard_TurboGaussian,26.38,3153.685407348322,3092.7386980943343,1.933,2675.5968251845306,15.16
mc_20260807_0627_medium_000070,mc_20260807_0627_medium/task_0014,70,SuperGaussian,5.34,3206.025685601145,3201.5979614864546,0.138,2833.4780838905544,11.62
mc_20260807_0627_medium_000071,mc_20260807_0627_medium/task_0014,71,Nygaard_TurboGaussian,11.32,3299.6122596656683,3236.2256291593303,1.921,2888.3705897525965,12.463
mc_20260807_0627_medium_000071,mc_20260807_0627_medium/task_0014,71,SuperGaussian,4.87,3353.747307336743,3349.218677664823,0.135,3034.330594605674,9.524
mc_20260807_0627_medium_000072,mc_20260807_0627_medium/task_0014,72,Nygaard_TurboGaussian,11.67,3269.4998094770763,3209.0098514490264,1.85,2845.608430131283,12.965
mc_20260807_0627_medium_000072,mc_20260807_0627_medium/task_0014,72,SuperGaussian,4.64,3322.7344684246573,3318.298412127318,0.134,3006.3181501646036,9.523
mc_20260807_0627_medium_000073,mc_20260807_0627_medium/task_0014,73,Nygaard_TurboGaussian,15.05,3265.9423628049176,3198.152177359679,2.076,2841.937873843315,12.983
mc_20260807_0627_medium_000073,mc_20260807_0627_medium/task_0014,73,SuperGaussian,4.82,3319.593473005838,3314.7994131038704,0.144,3003.438981445385,9.524
mc_20260807_0627_medium_000074,mc_20260807_0627_medium/task_0014,74,Nygaard_TurboGaussian,7.87,3232.4274614032247,3168.096069162578,1.99,2767.749473221877,14.376
mc_20260807_0627_medium_000074,mc_20260807_0627_medium/task_0014,74,SuperGaussian,2.81,3285.90453930094,3281.2000989005583,0.143,2923.278465186512,11.036
