trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_high_000070,mc_20260807_0627_high/task_0014,70,high,2026-08-07T06:28:38.453,2026-08-07T06:29:35.082,2026-08-07T06:28:38.458,2026-08-07T06:28:44.954,2026-08-07T06:28:44.962,0.0,6.5,0.01,50.12,56.63,25,12,1774,23616.0,8401.0,35.57,1.0,,8.963,7,0.1585
mc_20260807_0627_high_000071,mc_20260807_0627_high/task_0014,71,high,2026-08-07T06:29:35.086,2026-08-07T06:30:05.194,2026-08-07T06:29:35.091,2026-08-07T06:29:42.958,2026-08-07T06:29:42.959,0.0,7.87,0.0,22.23,30.11,22,9,1413,23616.0,6589.0,27.9,1.0,,9.153,7,0.158
mc_20260807_0627_high_000072,mc_20260807_0627_high/task_0014,72,high,2026-08-07T06:30:05.195,2026-08-07T06:30:30.463,2026-08-07T06:30:05.198,2026-08-07T06:30:14.676,2026-08-07T06:30:14.677,0.0,9.48,0.0,15.79,25.27,22,9,1214,23616.0,2889.0,12.23,1.0,,9.188,8,0.1351
mc_20260807_0627_high_000073,mc_20260807_0627_high/task_0014,73,high,2026-08-07T06:30:30.464,2026-08-07T06:30:52.219,2026-08-07T06:30:30.467,2026-08-07T06:30:38.792,2026-08-07T06:30:38.793,0.0,8.33,0.0,13.43,21.75,22,9,1068,23612,1783.5,7.55,1.0,,9.188,7,0.1339
mc_20260807_0627_high_000074,mc_20260807_0627_high/task_0014,74,high,2026-08-07T06:30:52.219,2026-08-07T06:31:22.110,2026-08-07T06:30:52.222,2026-08-07T06:30:59.069,2026-08-07T06:30:59.070,0.0,6.85,0.0,23.04,29.89,19,6,1427,23616.0,5533.5,23.43,1.0,,9.039,8,0.1445
mc_20260807_0627_high_000075,mc_20260807_0627_high/task_0015,75,high,2026-08-07T06:28:38.986,2026-08-07T06:29:26.417,2026-08-07T06:28:38.991,2026-08-07T06:28:44.748,2026-08-07T06:28:44.757,0.0,5.76,0.01,41.66,47.43,23,10,1583,23616.0,7425.5,31.44,1.0,,9.126,7,0.1588
mc_20260807_0627_high_000076,mc_20260807_0627_high/task_0015,76,high,2026-08-07T06:29:26.423,2026-08-07T06:30:01.230,2026-08-07T06:29:26.427,2026-08-07T06:29:34.092,2026-08-07T06:29:34.093,0.0,7.67,0.0,27.14,34.81,25,12,1332,23616.0,5564.5,23.56,1.0,,9.446,7,0.1632
mc_20260807_0627_high_000077,mc_20260807_0627_high/task_0015,77,high,2026-08-07T06:30:01.231,2026-08-07T06:30:29.309,2026-08-07T06:30:01.234,2026-08-07T06:30:08.706,2026-08-07T06:30:08.707,0.0,7.47,0.0,20.6,28.08,23,10,1419,23616.0,6804.0,28.81,1.0,,9.067,8,0.1467
mc_20260807_0627_high_000078,mc_20260807_0627_high/task_0015,78,high,2026-08-07T06:30:29.310,2026-08-07T06:30:58.009,2026-08-07T06:30:29.314,2026-08-07T06:30:35.427,2026-08-07T06:30:35.428,0.0,6.11,0.0,22.58,28.7,22,9,1555,23616.0,7696.0,32.59,1.0,,9.281,7,0.1557
mc_20260807_0627_high_000079,mc_20260807_0627_high/task_0015,79,high,2026-08-07T06:30:58.010,2026-08-07T06:31:14.954,2026-08-07T06:30:58.014,2026-08-07T06:31:06.278,2026-08-07T06:31:06.279,0.0,8.26,0.0,8.68,16.94,21,8,1075,23616.0,3311.8,14.02,1.0,,8.926,7,0.1561
