trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_high_000047,mc_20260807_0627_high/task_0009,47,SuperGaussian,5.41,3322.8126380454064,3318.6499016061075,0.125,3027.5599737305547,8.886
mc_20260807_0627_high_000048,mc_20260807_0627_high/task_0009,48,Nygaard_TurboGaussian,18.64,3312.3323643463086,3241.04160722292,2.152,2826.0136152463897,14.682
mc_20260807_0627_high_000048,mc_20260807_0627_high/task_0009,48,SuperGaussian,5.13,3366.6749735600833,3361.5461421388454,0.152,2989.5473883590703,11.202
mc_20260807_0627_high_000049,mc_20260807_0627_high/task_0009,49,Nygaard_TurboGaussian,12.2,3391.9429298410337,3315.991881425386,2.239,2939.8061861848364,13.33
mc_20260807_0627_high_000049,mc_20260807_0627_high/task_0009,49,SuperGaussian,3.22,3449.6304671023486,3444.2455588858356,0.156,3099.4840521847095,10.15
mc_20260807_0627_high_000050,mc_20260807_0627_high/task_0010,50,Nygaard_TurboGaussian,36.01,3354.4455525445983,3293.5990781161545,1.814,2851.514052618843,14.993
mc_20260807_0627_high_000050,mc_20260807_0627_high/task_0010,50,SuperGaussian,5.57,3407.4583933119993,3403.023754891952,0.13,3009.75527484112,11.672
mc_20260807_0627_high_000051,mc_20260807_0627_high/task_0010,51,Nygaard_TurboGaussian,18.58,3079.685592384501,3024.14910617369,1.803,2623.1047737706926,14.826
mc_20260807_0627_high_000051,mc_20260807_0627_high/task_0010,51,SuperGaussian,4.35,3128.229543055963,3124.168198967958,0.13,2758.867856926021,11.807
mc_20260807_0627_high_000052,mc_20260807_0627_high/task_0010,52,Nygaard_TurboGaussian,10.31,3250.5661889297635,3193.669666171305,1.75,2839.2707334827,12.653
mc_20260807_0627_high_000052,mc_20260807_0627_high/task_0010,52,SuperGaussian,3.96,3301.834260862722,3297.724436981718,0.124,3016.6856313126573,8.636
mc_20260807_0627_high_000053,mc_20260807_0627_high/task_0010,53,Nygaard_TurboGaussian,12.67,3228.7228022267336,3170.5756026435665,1.801,2797.3596880849127,13.36
mc_20260807_0627_high_000053,mc_20260807_0627_high/task_0010,53,SuperGaussian,4.83,3281.5680003696493,3277.291189415252,0.13,2960.363653326219,9.788
mc_20260807_0627_high_000054,mc_20260807_0627_high/task_0010,54,Nygaard_TurboGaussian,12.0,2983.8374883878273,2935.4515054976846,1.622,2550.043887273096,14.538
mc_20260807_0627_high_000054,mc_20260807_0627_high/task_0010,54,SuperGaussian,3.69,3033.8320682243875,3030.3174528111767,0.116,2685.4371111805185,11.484
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Nygaard_TurboGaussian,9.97,2930.3102030033356,2876.878098750301,1.823,2482.7728979054154,15.273
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,SuperGaussian,3.12,2979.194207313675,2975.3631966715293,0.129,2622.8568095126207,11.961
mc_20260807_0627_high_000056,mc_20260807_0627_high/task_0011,56,Nygaard_TurboGaussian,17.62,3240.7659439708564,3189.8801674451306,1.57,2781.22160393978,14.18
mc_20260807_0627_high_000056,mc_20260807_0627_high/task_0011,56,SuperGaussian,4.06,3290.8674693849725,3287.0877423063857,0.115,2932.9247262592235,10.877
mc_20260807_0627_high_000057,mc_20260807_0627_high/task_0011,57,Nygaard_TurboGaussian,22.62,3144.969876024169,3074.658039762389,2.236,2652.2710177179747,15.666
mc_20260807_0627_high_000057,mc_20260807_0627_high/task_0011,57,SuperGaussian,5.54,3201.5480434038845,3196.5813570223895,0.155,2820.7634385846045,11.894
mc_20260807_0627_high_000058,mc_20260807_0627_high/task_0011,58,Nygaard_TurboGaussian,22.35,3376.781200360275,3322.5288931574255,1.607,2928.244829975316,13.283
mc_20260807_0627_high_000058,mc_20260807_0627_high/task_0011,58,SuperGaussian,5.41,3426.450325460724,3422.516577498681,0.115,3086.0562964510073,9.934
